function, G, width, depth, run, loss, mse, l2
f1, 5, 32, 2, 5, 1.077851811714936e-05, 1.2014312233077362e-05, 0.010510028339922428
f1, 5, 64, 2, 1, 2.564380338299088e-06, 2.2855256247567013e-06, 0.004549781326204538
f1, 5, 64, 2, 2, 1.0787792916744365e-06, 9.542966381559381e-07, 0.003195849247276783
f1, 5, 64, 2, 3, 6.632113127125194e-06, 6.611888238694519e-06, 0.007708393037319183
f1, 5, 64, 2, 4, 6.853924219285545e-07, 7.733862048553419e-07, 0.0025513190776109695
f1, 5, 64, 2, 5, 1.4674637895950582e-06, 1.3645988019561628e-06, 0.0036775050684809685
f1, 5, 2, 3, 1, 0.0018831869820132852, 0.0018557464936748147, 0.13001710176467896
f1, 5, 2, 3, 2, 5.078934918856248e-05, 5.447435250971466e-05, 0.022243965417146683
f1, 5, 2, 3, 3, 9.201223292620853e-05, 9.405789023730904e-05, 0.029560843482613564
f1, 5, 2, 3, 4, 5.6879569456214085e-05, 5.6403237977065146e-05, 0.022834131494164467
f1, 5, 2, 3, 5, 0.00023439113283529878, 0.00023765157675370574, 0.047179676592350006
f1, 5, 4, 3, 1, 1.5388603060273454e-05, 2.0042220057803206e-05, 0.012625858187675476
f1, 5, 4, 3, 2, 5.579249045695178e-05, 5.501908890437335e-05, 0.022342190146446228
f1, 5, 4, 3, 3, 1.756685924192425e-05, 1.9541572328307666e-05, 0.013205815106630325
f1, 5, 4, 3, 4, 8.177146082744002e-05, 7.321080920519307e-05, 0.026929887011647224
f1, 5, 4, 3, 5, 2.85071182588581e-05, 2.5040933905984275e-05, 0.015850920230150223
f1, 5, 8, 3, 1, 1.2302345567150041e-05, 1.1590286703722086e-05, 0.010161000303924084
f1, 5, 8, 3, 2, 1.0807011676661205e-05, 1.2361561857687775e-05, 0.010438231751322746
f1, 5, 8, 3, 3, 1.792008879419882e-05, 1.865689227997791e-05, 0.012852930463850498
f1, 5, 8, 3, 4, 8.315819286508486e-06, 8.910190445021726e-06, 0.008805414661765099
