function, G, width, depth, run, loss, mse, l2
f1, 5, 2, 4, 4, 4.0094296309689526e-06, 3.743560000657453e-06, 0.005924280732870102
f1, 5, 2, 4, 5, 9.771637451194692e-06, 1.0718498742789961e-05, 0.009724123403429985
f1, 5, 4, 4, 1, 4.432102741702693e-06, 5.228697773418389e-06, 0.006782058160752058
f1, 5, 4, 4, 2, 4.614590125129325e-06, 5.502765816345345e-06, 0.006939102429896593
f1, 5, 4, 4, 3, 6.544700681843096e-06, 1.3521586879505776e-05, 0.010773335583508015
f1, 5, 4, 4, 4, 3.7101608540979214e-06, 4.131144123675767e-06, 0.006095146760344505
f1, 5, 4, 4, 5, 6.262360784603516e-06, 5.546854026761139e-06, 0.006985816173255444
f1, 5, 8, 4, 1, 4.34723233411205e-06, 5.143588623468531e-06, 0.006790288724005222
f1, 5, 8, 4, 2, 4.983037797501311e-06, 2.8506372018455295e-06, 0.005084142088890076
f1, 5, 8, 4, 3, 1.9559777229005704e-06, 2.234419298474677e-06, 0.004414582159370184
f1, 5, 8, 4, 4, 8.173400601663161e-06, 3.683890327010886e-06, 0.0056572603061795235
f1, 5, 8, 4, 5, 7.11579923518002e-06, 8.949739822128322e-06, 0.008666196838021278
f1, 5, 16, 4, 1, 2.3345985027845018e-05, 9.18792011361802e-06, 0.00891055166721344
f1, 5, 16, 4, 2, 3.6947403714293614e-06, 5.14025350639713e-06, 0.006746544968336821
f1, 5, 16, 4, 3, 4.238707333570346e-06, 4.498599992075469e-06, 0.006412379909306765
f1, 5, 16, 4, 4, 6.2356261878449e-06, 9.085148121812381e-06, 0.009353247471153736
f1, 5, 16, 4, 5, 6.149196906335419e-06, 7.273732990142889e-06, 0.007897559553384781
f1, 5, 32, 4, 1, 6.593586294911802e-05, 8.891041215974838e-05, 0.02782319486141205
f1, 5, 32, 4, 2, 5.94288303545909e-06, 8.652405085740611e-06, 0.008578198961913586
f1, 5, 32, 4, 3, 2.956814569188282e-06, 3.3418657494621584e-06, 0.005398925859481096
f1, 5, 32, 4, 4, 3.279016891610809e-05, 2.760526149359066e-05, 0.015508705750107765
f1, 5, 32, 4, 5, 3.948174708057195e-06, 3.886555532517377e-06, 0.005978729575872421
f1, 5, 64, 4, 1, 7.044448284432292e-05, 2.793198473227676e-05, 0.015212995931506157
f1, 5, 64, 4, 2, 0.3794901371002197, 0.12965261936187744, 1.0076237916946411
f1, 5, 64, 4, 3, 0.0002971894864458591, 0.00027909493655897677, 0.04840201884508133
f1, 5, 64, 4, 4, 2.1285482944222167e-05, 2.3473077817470767e-05, 0.01457169558852911
f1, 5, 64, 4, 5, 6.186770770000294e-05, 6.678417412331328e-05, 0.02458895370364189
f1, 10, 2, 1, 1, 5.581206642091274e-05, 5.6738717830739915e-05, 0.022752391174435616
f1, 10, 2, 1, 2, 0.00010816621215781197, 0.00013161328388378024, 0.032907843589782715
f1, 10, 2, 1, 3, 0.00011392066517146304, 0.00011755639570765197, 0.031681738793849945
f1, 10, 2, 1, 4, 0.0001757084100972861, 0.00016006582882255316, 0.03931974992156029
f1, 10, 2, 1, 5, 9.347595187136903e-05, 0.0001087147174985148, 0.0298751387745142
f1, 10, 4, 1, 1, 3.975773142883554e-05, 3.834919698419981e-05, 0.019396288320422173
f1, 10, 4, 1, 2, 2.1485680917976424e-05, 2.3956872610142455e-05, 0.015055722557008266
f1, 10, 4, 1, 3, 2.7601787223829888e-05, 3.442806701059453e-05, 0.016548916697502136
f1, 10, 4, 1, 4, 1.911048275360372e-05, 2.1218706024228595e-05, 0.013181190006434917
f1, 10, 4, 1, 5, 8.981541213870514e-06, 1.1410642400733195e-05, 0.01003680657595396
f1, 10, 8, 1, 1, 1.0420137186883949e-05, 1.2418113328749314e-05, 0.010995463468134403
f1, 10, 8, 1, 2, 1.0580552952887956e-05, 1.2634014638024382e-05, 0.010578887537121773
f1, 10, 8, 1, 3, 1.0506023500056472e-05, 1.474664531997405e-05, 0.011040369980037212
f1, 10, 8, 1, 4, 1.7315440345555544e-05, 1.7461466995882802e-05, 0.01311470102518797
f1, 10, 8, 1, 5, 1.511947630206123e-05, 1.691348552412819e-05, 0.012343185022473335
f1, 10, 16, 1, 1, 6.933571512490744e-06, 8.151715519488789e-06, 0.008477969095110893
f1, 10, 16, 1, 2, 1.0260956514684949e-05, 1.2162577149865683e-05, 0.010443052276968956
f1, 10, 16, 1, 3, 9.148823664872907e-06, 9.528685041004792e-06, 0.00944109819829464
f1, 10, 16, 1, 4, 8.47335013531847e-06, 9.782072993402835e-06, 0.009467830881476402
f1, 10, 16, 1, 5, 1.1854041986225639e-05, 1.3021475751884282e-05, 0.011252312920987606
f1, 10, 32, 1, 1, 1.2181531928945333e-05, 1.5602778148604557e-05, 0.011656624265015125
f1, 10, 32, 1, 2, 7.670348168176133e-06, 9.05142405827064e-06, 0.008927763439714909
f1, 10, 32, 1, 3, 7.036358510958962e-06, 8.848421202856116e-06, 0.008912771008908749
f1, 10, 32, 1, 4, 5.816324119223282e-06, 7.184412424976472e-06, 0.007868987508118153
f1, 10, 32, 1, 5, 8.98500729817897e-06, 1.0638931598805357e-05, 0.009914231486618519
f1, 10, 64, 1, 1, 7.013745744188782e-06, 1.066693221218884e-05, 0.009186274372041225
f1, 10, 64, 1, 2, 6.749586646037642e-06, 8.269006684713531e-06, 0.008706525899469852
f1, 10, 64, 1, 3, 5.914457233302528e-06, 7.408692454191623e-06, 0.008229220286011696
f1, 10, 64, 1, 4, 7.378004283964401e-06, 9.338547897641547e-06, 0.00920376181602478
f1, 10, 64, 1, 5, 8.529497790732421e-06, 1.1026811080228072e-05, 0.00985738169401884
f1, 10, 2, 2, 1, 0.0014402613742277026, 0.0020342920906841755, 0.12164419144392014
