pde, G, width, depth, pow_basis, pow_res, run, loss, l2
allen-cahn, 5, 2, 1, 1.75, 1.25, 1, 0.018111560493707657, 0.5860728025436401
allen-cahn, 5, 2, 1, 1.75, 1.25, 2, 0.01927572302520275, 0.6148287057876587
allen-cahn, 5, 2, 1, 1.75, 1.25, 3, 0.02062317728996277, 0.6264909505844116
allen-cahn, 5, 2, 1, 1.75, 1.5, 1, 0.019216667860746384, 0.6191655397415161
allen-cahn, 5, 2, 1, 1.75, 1.5, 2, 0.019363313913345337, 0.6148003935813904
allen-cahn, 5, 2, 1, 1.75, 1.5, 3, 0.018592385575175285, 0.5707840919494629
allen-cahn, 5, 2, 1, 1.75, 1.75, 1, 0.01926332153379917, 0.6195054054260254
allen-cahn, 5, 2, 1, 1.75, 1.75, 2, 0.019318463280797005, 0.6143344044685364
allen-cahn, 5, 2, 1, 1.75, 1.75, 3, 0.01856048032641411, 0.5724841356277466
allen-cahn, 5, 2, 1, 1.75, 2.0, 1, 0.019578848034143448, 0.6182387471199036
allen-cahn, 5, 2, 1, 1.75, 2.0, 2, 0.019319580867886543, 0.6142392158508301
allen-cahn, 5, 2, 1, 1.75, 2.0, 3, 0.018513552844524384, 0.5719543099403381
allen-cahn, 5, 2, 1, 2.0, 0.0, 1, 0.049881212413311005, 0.7069116830825806
allen-cahn, 5, 2, 1, 2.0, 0.0, 2, 0.12786094844341278, 1.12750244140625
allen-cahn, 5, 2, 1, 2.0, 0.0, 3, 0.03284953534603119, 0.707570493221283
allen-cahn, 5, 2, 1, 2.0, 0.25, 1, 0.020333608612418175, 0.6329175233840942
allen-cahn, 5, 2, 1, 2.0, 0.25, 2, 0.03162398189306259, 0.7799423933029175
allen-cahn, 5, 2, 1, 2.0, 0.25, 3, 0.061644528061151505, 1.0207784175872803
allen-cahn, 5, 2, 1, 2.0, 0.5, 1, 0.023232433944940567, 0.6662873029708862
allen-cahn, 5, 2, 1, 2.0, 0.5, 2, 0.019390277564525604, 0.5979565978050232
allen-cahn, 5, 2, 1, 2.0, 0.5, 3, 0.02186216600239277, 0.6363602876663208
allen-cahn, 5, 2, 1, 2.0, 0.75, 1, 0.020818505436182022, 0.6227108240127563
