pde, G, width, depth, run, loss, l2
allen-cahn, 5, 32, 3, 3, 0.016207637265324593, 0.6492747068405151
allen-cahn, 5, 32, 3, 4, 0.015195682644844055, 0.5631668567657471
allen-cahn, 5, 32, 3, 5, 0.02349821664392948, 0.6013616323471069
allen-cahn, 5, 64, 3, 1, 0.03604064881801605, 1.0239322185516357
allen-cahn, 5, 64, 3, 2, 0.01630089245736599, 0.6466103792190552
allen-cahn, 5, 64, 3, 3, 0.013554411940276623, 0.6758303046226501
allen-cahn, 5, 64, 3, 4, 0.029890872538089752, 0.8184574246406555
allen-cahn, 5, 64, 3, 5, 0.9496802091598511, 0.738020122051239
allen-cahn, 5, 2, 4, 1, 0.015522808767855167, 0.5434978604316711
allen-cahn, 5, 2, 4, 2, 0.1265847533941269, 0.7567591667175293
allen-cahn, 5, 2, 4, 3, 0.015434663742780685, 0.5294857621192932
allen-cahn, 5, 2, 4, 4, 0.11669035255908966, 0.6893430352210999
allen-cahn, 5, 2, 4, 5, 0.015257297083735466, 0.5323142409324646
allen-cahn, 5, 4, 4, 1, 0.015225572511553764, 0.5383237600326538
allen-cahn, 5, 4, 4, 2, 0.015159731730818748, 0.5340737104415894
allen-cahn, 5, 4, 4, 3, 0.015449250116944313, 0.532792866230011
allen-cahn, 5, 4, 4, 4, 0.015024574473500252, 0.5325875282287598
allen-cahn, 5, 4, 4, 5, 0.015043335035443306, 0.5271274447441101
allen-cahn, 5, 8, 4, 1, 0.0011066622100770473, 0.1482909619808197
allen-cahn, 5, 8, 4, 2, 0.014818297699093819, 0.5227000713348389
allen-cahn, 5, 8, 4, 3, 0.014421248808503151, 0.49913233518600464
allen-cahn, 5, 8, 4, 4, 0.013295738957822323, 0.4299989342689514
allen-cahn, 5, 8, 4, 5, 0.015037694945931435, 0.5279393792152405
allen-cahn, 5, 16, 4, 1, 0.0036941333673894405, 0.23626917600631714
allen-cahn, 5, 16, 4, 2, 0.0010592462494969368, 0.15507559478282928
allen-cahn, 5, 16, 4, 3, 0.011741516180336475, 0.39173784852027893
allen-cahn, 5, 16, 4, 4, 0.00045881024561822414, 0.12248740345239639
allen-cahn, 5, 16, 4, 5, 0.011303884908556938, 0.5477126836776733
allen-cahn, 5, 32, 4, 1, 0.02113983780145645, 0.5266906023025513
