method,pde,G,width,depth,pow_res,pow_basis,run,loss,l2
lecun_norm,ac,5,16,3,,,3,0.0140959117561578,0.4726385772228241
lecun_norm,ac,5,16,3,,,4,0.0128735452890396,0.3669472634792328
lecun_norm,ac,5,16,3,,,5,0.0025495083536952,0.2397051751613617
lecun_norm,ac,5,32,3,,,1,0.0166937224566936,0.5819612145423889
lecun_norm,ac,5,32,3,,,2,0.0177460499107837,0.5547893047332764
lecun_norm,ac,5,32,3,,,3,0.0162076372653245,0.6492747068405151
lecun_norm,ac,5,32,3,,,4,0.015195682644844,0.5631668567657471
lecun_norm,ac,5,32,3,,,5,0.0234982166439294,0.6013616323471069
lecun_norm,ac,5,64,3,,,1,0.036040648818016,1.0239322185516355
lecun_norm,ac,5,64,3,,,2,0.0163008924573659,0.6466103792190552
lecun_norm,ac,5,64,3,,,3,0.0135544119402766,0.6758303046226501
lecun_norm,ac,5,64,3,,,4,0.0298908725380897,0.8184574246406555
lecun_norm,ac,5,64,3,,,5,0.9496802091598512,0.738020122051239
lecun_norm,ac,5,2,4,,,1,0.0155228087678551,0.5434978604316711
lecun_norm,ac,5,2,4,,,2,0.1265847533941269,0.7567591667175293
lecun_norm,ac,5,2,4,,,3,0.0154346637427806,0.5294857621192932
lecun_norm,ac,5,2,4,,,4,0.1166903525590896,0.6893430352210999
lecun_norm,ac,5,2,4,,,5,0.0152572970837354,0.5323142409324646
lecun_norm,ac,5,4,4,,,1,0.0152255725115537,0.5383237600326538
lecun_norm,ac,5,4,4,,,2,0.0151597317308187,0.5340737104415894
lecun_norm,ac,5,4,4,,,3,0.0154492501169443,0.532792866230011
lecun_norm,ac,5,4,4,,,4,0.0150245744735002,0.5325875282287598
lecun_norm,ac,5,4,4,,,5,0.0150433350354433,0.5271274447441101
lecun_norm,ac,5,8,4,,,1,0.001106662210077,0.1482909619808197
lecun_norm,ac,5,8,4,,,2,0.0148182976990938,0.5227000713348389
lecun_norm,ac,5,8,4,,,3,0.0144212488085031,0.4991323351860046
lecun_norm,ac,5,8,4,,,4,0.0132957389578223,0.4299989342689514
lecun_norm,ac,5,8,4,,,5,0.0150376949459314,0.5279393792152405
lecun_norm,ac,5,16,4,,,1,0.0036941333673894,0.2362691760063171
lecun_norm,ac,5,16,4,,,2,0.0010592462494969,0.1550755947828292
lecun_norm,ac,5,16,4,,,3,0.0117415161803364,0.3917378485202789
lecun_norm,ac,5,16,4,,,4,0.0004588102456182,0.1224874034523963
lecun_norm,ac,5,16,4,,,5,0.0113038849085569,0.5477126836776733
lecun_norm,ac,5,32,4,,,1,0.0211398378014564,0.5266906023025513
