pde, G, width, depth, run, loss, l2
allen-cahn, 10, 8, 2, 1, 0.0014614840038120747, 0.17634430527687073
allen-cahn, 10, 8, 2, 2, 0.01492619700729847, 0.5229222774505615
allen-cahn, 10, 8, 2, 3, 0.0010972231393679976, 0.14016704261302948
allen-cahn, 10, 8, 2, 4, 0.0014577803667634726, 0.21121704578399658
allen-cahn, 10, 8, 2, 5, 0.015441286377608776, 0.5280972719192505
allen-cahn, 10, 16, 2, 1, 0.013221410103142262, 0.5575999617576599
allen-cahn, 10, 16, 2, 2, 0.002401763340458274, 0.1427268236875534
allen-cahn, 10, 16, 2, 3, 0.01119934394955635, 0.33937525749206543
allen-cahn, 10, 16, 2, 4, 0.001072379993274808, 0.15624332427978516
allen-cahn, 10, 16, 2, 5, 0.0037708331365138292, 0.20154671370983124
allen-cahn, 10, 32, 2, 1, 0.021058041602373123, 0.5403351187705994
allen-cahn, 10, 32, 2, 2, 0.015598984435200691, 0.568208634853363
allen-cahn, 10, 32, 2, 3, 0.014554832130670547, 0.571986973285675
allen-cahn, 10, 32, 2, 4, 0.014455399475991726, 0.5402980446815491
allen-cahn, 10, 32, 2, 5, 0.02083708718419075, 0.5518770217895508
allen-cahn, 10, 64, 2, 1, 0.01373198814690113, 0.743526816368103
allen-cahn, 10, 64, 2, 2, 0.16564734280109406, 0.665231466293335
allen-cahn, 10, 64, 2, 3, 0.10478489845991135, 0.6953519582748413
allen-cahn, 10, 64, 2, 4, 1.3589223623275757, 1.2626688480377197
allen-cahn, 10, 64, 2, 5, 0.03052665665745735, 0.7693179845809937
allen-cahn, 10, 2, 3, 1, 0.08403719216585159, 0.9856857061386108
allen-cahn, 10, 2, 3, 2, 0.6725130081176758, 0.9021534323692322
allen-cahn, 10, 2, 3, 3, 0.4230635166168213, 1.0197421312332153
allen-cahn, 10, 2, 3, 4, 1.201243281364441, 1.0002038478851318
allen-cahn, 10, 2, 3, 5, 0.6290749907493591, 0.8620238900184631
allen-cahn, 10, 4, 3, 1, 0.015067323110997677, 0.5358179807662964
allen-cahn, 10, 4, 3, 2, 0.015027773566544056, 0.5211254358291626
